week,activation_id,restaurant_name,location_name,activation_description,minimum_spend_threshold,reward_amount,activation_start,activation_end,unique_users_count,unique_users_count_REDEEMED,total_tpv,median_check,tpv_vs_baseline,median_check_vs_baseline,marketing_spend,remaining_group_budget,new_users_count,returning_users_count,new_user_percentage,notes
Week 1,"22,915",82 Queen,French Quarter,"Spend $75 with Blackbird Pay, get $20 in $FLY back",75.0,20.0,2025-10-28 17:00:00,2025-10-28 21:00:00,1,1,103.23,103.23,,,20.0,4940.0,0,1,0.0,
Week 1,"22,908, 22,907, 22,906, 22,905, 22,904, 22,903, 22,902, 22,901, 22,900, 22,899, 22,898, 22,897, 22,896, 22,895, 22,894, 22,893, 22,892, 22,891",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",100.0,35.0,2025-10-28 16:00:00,2025-11-16 22:00:00,10,1,486.69,31.24,,,35.0,2115.0,2,8,20.0,
Week 2,"22,908, 22,907, 22,906, 22,905, 22,904, 22,903, 22,902, 22,901, 22,900, 22,899, 22,898, 22,897, 22,896, 22,895, 22,894, 22,893, 22,892, 22,891",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",100.0,35.0,2025-10-28 16:00:00,2025-11-16 22:00:00,5,2,841.97,35.64,,,70.0,2115.0,3,2,60.0,
Week 3,"22,908, 22,907, 22,906, 22,905, 22,904, 22,903, 22,902, 22,901, 22,900, 22,899, 22,898, 22,897, 22,896, 22,895, 22,894, 22,893, 22,892, 22,891",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",100.0,35.0,2025-10-28 16:00:00,2025-11-16 22:00:00,5,3,581.54,84.46,,,105.0,2115.0,3,2,60.0,
Week 1,"25,494",Aftermath,Ridgewood,"Spend $40, get $10 in $FLY back (Blackbird Pay required)",40.0,10.0,2025-11-02 13:00:00,2025-11-03 00:00:00,13,7,750.23,38.76,-45.11,19.39,70.0,2430.0,0,13,0.0,
Week 3,"25,862, 25,861, 25,860",Aita,Clinton Hill,"Spend $100 with Blackbird Pay, get $50 in $FLY back",100.0,50.0,2025-11-10 17:00:00,2025-11-12 22:30:00,6,3,982.42,124.0,12.9,329.07,150.0,0.0,4,2,66.67,
Week 1,"25,693, 25,692, 25,691, 25,690, 25,689, 25,688, 25,687, 25,686",Amen Street Fish & Raw Bar,French Quarter - Charleston,"Spend $40 with Blackbird Pay, get $10 in $FLY back",40.0,10.0,2025-11-02 11:00:00,2025-11-09 16:00:00,3,2,118.98,32.64,-92.2,-24.98,20.0,2410.0,2,1,66.67,
Week 2,"25,693, 25,692, 25,691, 25,690, 25,689, 25,688, 25,687, 25,686",Amen Street Fish & Raw Bar,French Quarter - Charleston,"Spend $40 with Blackbird Pay, get $10 in $FLY back",40.0,10.0,2025-11-02 11:00:00,2025-11-09 16:00:00,10,7,897.22,49.94,-42.23,21.8,70.0,2410.0,5,5,50.0,
Week 1,"25,453, 25,452, 25,451",Baguette Magic,James Island,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-29 10:00:00,2025-11-12 14:00:00,4,3,139.52,22.85,-82.91,26.77,30.0,4930.0,2,2,50.0,
Week 2,"25,453, 25,452, 25,451",Baguette Magic,James Island,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-29 10:00:00,2025-11-12 14:00:00,0,0,0.0,,,,0.0,4930.0,0,0,,No transactions during activation period
Week 3,"25,453, 25,452, 25,451",Baguette Magic,James Island,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-29 10:00:00,2025-11-12 14:00:00,2,1,44.56,22.28,-95.46,14.55,10.0,4930.0,1,1,50.0,
Week 1,"25,445, 25,448, 25,443",Baguette Magic,West Ashley,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-29 10:00:00,2025-11-12 14:00:00,2,1,32.49,16.24,-97.11,-3.79,10.0,4930.0,0,2,0.0,
Week 2,"25,445, 25,448, 25,443",Baguette Magic,West Ashley,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-29 10:00:00,2025-11-12 14:00:00,2,0,33.0,16.5,-97.21,-4.24,0.0,4930.0,1,1,50.0,
Week 3,"25,445, 25,448, 25,443",Baguette Magic,West Ashley,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-29 10:00:00,2025-11-12 14:00:00,4,2,88.51,18.56,-93.2,14.29,20.0,4930.0,2,2,50.0,
Week 1,"25,303, 25,302, 25,301, 25,300, 25,299, 25,298",Barn Joo ,Union Square,"Spend $45 with Blackbird Pay, get $15 in $FLY back",45.0,15.0,2025-10-27 12:00:00,2025-11-12 16:00:00,3,1,137.01,26.67,-89.18,-25.24,15.0,2395.0,1,2,33.33,
Week 2,"25,303, 25,302, 25,301, 25,300, 25,299, 25,298",Barn Joo ,Union Square,"Spend $45 with Blackbird Pay, get $15 in $FLY back",45.0,15.0,2025-10-27 12:00:00,2025-11-12 16:00:00,3,3,302.03,50.47,-69.54,62.07,45.0,2395.0,2,1,66.67,
Week 3,"25,303, 25,302, 25,301, 25,300, 25,299, 25,298",Barn Joo ,Union Square,"Spend $45 with Blackbird Pay, get $15 in $FLY back",45.0,15.0,2025-10-27 12:00:00,2025-11-12 16:00:00,5,3,219.28,39.15,-78.88,-9.47,45.0,2395.0,2,3,40.0,
Week 1,"25,634, 25,633, 25,819, 25,631, 25,630, 25,629, 25,628, 25,627, 25,626, 25,818, 25,624, 25,623, 25,622, 25,621",Bateman's,East Village,"Spend $100 or more, earn $50 in $FLY",100.0,50.0,2025-10-30 17:00:00,2025-11-13 00:00:00,6,5,817.16,92.0,,,250.0,0.0,6,0,100.0,
Week 2,"25,634, 25,633, 25,819, 25,631, 25,630, 25,629, 25,628, 25,627, 25,626, 25,818, 25,624, 25,623, 25,622, 25,621",Bateman's,East Village,"Spend $100 or more, earn $50 in $FLY",100.0,50.0,2025-10-30 17:00:00,2025-11-13 00:00:00,5,4,579.82,82.2,,,200.0,0.0,5,0,100.0,
Week 3,"25,634, 25,633, 25,819, 25,631, 25,630, 25,629, 25,628, 25,627, 25,626, 25,818, 25,624, 25,623, 25,622, 25,621",Bateman's,East Village,"Spend $100 or more, earn $50 in $FLY",100.0,50.0,2025-10-30 17:00:00,2025-11-13 00:00:00,4,4,445.76,100.66,,,200.0,0.0,4,0,100.0,
Week 1,"25,228, 25,227, 25,226",Bernie's,Noe Valley,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-27 10:00:00,2025-11-10 14:00:00,0,0,0.0,,,,0.0,2500.0,0,0,,No transactions during activation period
Week 2,"25,228, 25,227, 25,226",Bernie's,Noe Valley,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-27 10:00:00,2025-11-10 14:00:00,2,0,19.75,9.88,-64.01,23.44,0.0,2500.0,0,2,0.0,
Week 3,"25,228, 25,227, 25,226",Bernie's,Noe Valley,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-27 10:00:00,2025-11-10 14:00:00,1,0,5.75,5.75,-82.0,-24.59,0.0,2500.0,1,0,100.0,
Week 1,"24,598, 24,589, 24,597, 24,588, 24,596, 24,587, 24,595, 24,586, 24,594, 24,585, 24,593",Bodega (Coffee Counter),Downtown,"Spend $20 with Blackbird Pay, get $5 in $FLY back",20.0,5.0,2025-10-27 13:30:00,2025-11-12 15:00:00,2,1,43.35,21.68,-96.88,29.6,5.0,4925.0,1,1,50.0,
Week 2,"24,598, 24,589, 24,597, 24,588, 24,596, 24,587, 24,595, 24,586, 24,594, 24,585, 24,593",Bodega (Coffee Counter),Downtown,"Spend $20 with Blackbird Pay, get $5 in $FLY back",20.0,5.0,2025-10-27 13:30:00,2025-11-12 15:00:00,5,2,85.77,9.33,-94.8,-47.91,10.0,4925.0,1,4,20.0,
Week 3,"24,598, 24,589, 24,597, 24,588, 24,596, 24,587, 24,595, 24,586, 24,594, 24,585, 24,593",Bodega (Coffee Counter),Downtown,"Spend $20 with Blackbird Pay, get $5 in $FLY back",20.0,5.0,2025-10-27 13:30:00,2025-11-12 15:00:00,2,0,17.8,8.9,,,0.0,4925.0,2,0,100.0,
Week 1,"24,615, 24,606, 24,614, 24,605, 24,613, 24,604, 24,612, 24,603, 24,611, 24,602, 24,610",Bodega (Coffee Counter),Mt. Pleasant ,"Spend $20 with Blackbird Pay, get $5 in $FLY back",20.0,5.0,2025-10-27 13:30:00,2025-11-12 15:00:00,5,0,68.99,14.95,-95.25,1.15,0.0,4925.0,0,5,0.0,
Week 2,"24,615, 24,606, 24,614, 24,605, 24,613, 24,604, 24,612, 24,603, 24,611, 24,602, 24,610",Bodega (Coffee Counter),Mt. Pleasant ,"Spend $20 with Blackbird Pay, get $5 in $FLY back",20.0,5.0,2025-10-27 13:30:00,2025-11-12 15:00:00,5,2,100.01,16.21,-91.87,20.43,10.0,4925.0,1,4,20.0,
Week 3,"24,615, 24,606, 24,614, 24,605, 24,613, 24,604, 24,612, 24,603, 24,611, 24,602, 24,610",Bodega (Coffee Counter),Mt. Pleasant ,"Spend $20 with Blackbird Pay, get $5 in $FLY back",20.0,5.0,2025-10-27 13:30:00,2025-11-12 15:00:00,4,1,56.72,10.5,,,5.0,4925.0,2,2,50.0,
Week 1,"24,581, 24,580, 24,579, 24,578, 24,577, 24,576, 24,575, 24,574",Bodega (Dine In),Downtown Charleston,"Spend $40 with Blackbird Pay, get $10 in $FLY back",40.0,10.0,2025-10-27 14:00:00,2025-11-12 16:00:00,0,0,0.0,,,,0.0,4925.0,0,0,,No transactions during activation period
Week 2,"24,581, 24,580, 24,579, 24,578, 24,577, 24,576, 24,575, 24,574",Bodega (Dine In),Downtown Charleston,"Spend $40 with Blackbird Pay, get $10 in $FLY back",40.0,10.0,2025-10-27 14:00:00,2025-11-12 16:00:00,3,0,90.71,12.21,-16.53,-18.76,0.0,4925.0,2,1,66.67,
Week 3,"24,581, 24,580, 24,579, 24,578, 24,577, 24,576, 24,575, 24,574",Bodega (Dine In),Downtown Charleston,"Spend $40 with Blackbird Pay, get $10 in $FLY back",40.0,10.0,2025-10-27 14:00:00,2025-11-12 16:00:00,1,0,13.87,13.87,,,0.0,4925.0,0,1,0.0,
Week 1,"25,419, 25,418, 25,417",Bon Banh Mi,Downtown,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 13:00:00,2025-11-11 17:00:00,2,0,30.47,15.24,-89.23,-12.86,0.0,4900.0,2,0,100.0,
Week 2,"25,419, 25,418, 25,417",Bon Banh Mi,Downtown,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 13:00:00,2025-11-11 17:00:00,1,1,53.68,53.68,-81.03,207.05,10.0,4900.0,1,0,100.0,
Week 3,"25,419, 25,418, 25,417",Bon Banh Mi,Downtown,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 13:00:00,2025-11-11 17:00:00,2,1,68.27,28.07,-75.88,60.56,10.0,4900.0,1,1,50.0,
Week 1,"25,427, 25,426, 25,425",Bon Banh Mi,Mt. Pleasant,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 13:00:00,2025-11-11 17:00:00,1,0,22.2,22.2,-98.12,-31.39,0.0,4900.0,0,1,0.0,
Week 2,"25,427, 25,426, 25,425",Bon Banh Mi,Mt. Pleasant,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 13:00:00,2025-11-11 17:00:00,5,5,284.4,45.69,-77.68,39.98,50.0,4900.0,2,3,40.0,
Week 3,"25,427, 25,426, 25,425",Bon Banh Mi,Mt. Pleasant,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 13:00:00,2025-11-11 17:00:00,2,2,125.58,37.2,-89.9,11.67,20.0,4900.0,0,2,0.0,
Week 1,"25,423, 25,422, 25,421",Bon Banh Mi,South Mt. Pleasant,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 13:00:00,2025-11-11 17:00:00,1,0,25.74,25.74,-97.12,-5.71,0.0,4900.0,0,1,0.0,
Week 2,"25,423, 25,422, 25,421",Bon Banh Mi,South Mt. Pleasant,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 13:00:00,2025-11-11 17:00:00,2,0,38.3,19.15,-95.66,-25.4,0.0,4900.0,2,0,100.0,
Week 3,"25,423, 25,422, 25,421",Bon Banh Mi,South Mt. Pleasant,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 13:00:00,2025-11-11 17:00:00,2,1,99.93,49.96,-90.06,95.86,10.0,4900.0,2,0,100.0,
Week 1,"24,410, 24,384, 24,383, 24,382, 24,381",Brass,NoMad,"Spend $100 with Blackbird Pay, get $50 in $FLY back",100.0,50.0,2025-10-27 17:00:00,2025-10-31 23:00:00,10,10,1507.33,108.3,,,500.0,1025.0,9,1,90.0,
Week 1,"24,652, 24,651, 24,650, 24,649, 24,648, 24,647, 24,646, 24,645, 24,644, 24,643, 24,642, 24,641",Carta,West Village,"Spend $50 with Blackbird Pay, get $25 in $FLY back",50.0,25.0,2025-10-27 16:00:00,2025-11-11 19:00:00,3,2,198.66,73.15,3.27,61.98,50.0,0.0,3,0,100.0,
Week 2,"24,652, 24,651, 24,650, 24,649, 24,648, 24,647, 24,646, 24,645, 24,644, 24,643, 24,642, 24,641",Carta,West Village,"Spend $50 with Blackbird Pay, get $25 in $FLY back",50.0,25.0,2025-10-27 16:00:00,2025-11-11 19:00:00,5,4,356.66,84.78,,,100.0,0.0,5,0,100.0,
Week 3,"24,652, 24,651, 24,650, 24,649, 24,648, 24,647, 24,646, 24,645, 24,644, 24,643, 24,642, 24,641",Carta,West Village,"Spend $50 with Blackbird Pay, get $25 in $FLY back",50.0,25.0,2025-10-27 16:00:00,2025-11-11 19:00:00,1,1,134.9,67.45,,,25.0,0.0,1,0,100.0,
Week 3,"25,896, 25,895",Chinta Thai,Greenpoint,"Spend $100 with Blackbird Pay, get $25 in $FLY back",100.0,25.0,2025-11-15 12:00:00,2025-11-16 22:00:00,8,2,586.04,20.46,-40.89,2.25,50.0,4950.0,1,7,12.5,
Week 1,"25,563, 25,562, 25,561, 25,560, 25,559, 25,558, 25,557, 25,556, 25,555",CyBelle's Front Room,Inner Sunset,Spend $20+ Get $10 in $Flyback!,20.0,10.0,2025-10-28 09:00:00,2025-11-05 20:00:00,2,2,78.9,31.23,-2.78,-42.14,20.0,0.0,2,0,100.0,
Week 2,"25,563, 25,562, 25,561, 25,560, 25,559, 25,558, 25,557, 25,556, 25,555",CyBelle's Front Room,Inner Sunset,Spend $20+ Get $10 in $Flyback!,20.0,10.0,2025-10-28 09:00:00,2025-11-05 20:00:00,0,0,0.0,,,,0.0,0.0,0,0,,No transactions during activation period
Week 1,"25,615, 25,614, 25,613, 25,612, 25,611, 25,610, 25,608, 25,607, 25,606, 25,605, 25,604, 25,603, 25,601, 25,600",Dada,Ridgewood,"Spend $50 with Blackbird Pay, get $25 in $FLY back",50.0,25.0,2025-11-01 10:00:00,2025-11-17 00:00:00,2,1,71.85,3.26,315.8,-62.27,25.0,4950.0,2,0,100.0,
Week 2,"25,615, 25,614, 25,613, 25,612, 25,611, 25,610, 25,608, 25,607, 25,606, 25,605, 25,604, 25,603, 25,601, 25,600",Dada,Ridgewood,"Spend $50 with Blackbird Pay, get $25 in $FLY back",50.0,25.0,2025-11-01 10:00:00,2025-11-17 00:00:00,0,0,0.0,,,,0.0,4950.0,0,0,,No transactions during activation period
